treshold,UP_ratio,UP_pp_cnt,UP_pp_OK,UP_real_cnt,ST_ratio,ST_pp_cnt,ST_pp_OK,ST_real_cnt
5%,0.2763657289987082,2052219,567163,567206,0.723837239024813,2053883,1486677,1486677
10%,0.28129260385822036,2009061,565134,567206,0.723837239024813,2053883,1486677,1486677
15%,0.2910196616272828,1892824,550849,567206,0.723837239024813,2053883,1486677,1486677
20%,0.3071972192718929,1592101,489089,567206,0.723837239024813,2053883,1486677,1486677
25%,0.3303202218421117,1148204,379275,567206,0.723837239024813,2053883,1486677,1486677
30%,0.3538404165124945,686462,242898,567206,0.723837239024813,2053883,1486677,1486677
35%,0.38357992419713915,309487,118713,567206,0.723837239024813,2053883,1486677,1486677
40%,0.4150964606590974,115643,48003,567206,0.7238325328846147,2053848,1486642,1486677
45%,0.4579701996064099,28456,13032,567206,0.7239065781842071,2053439,1486498,1486677
50%,0.5213374395072591,4546,2370,567206,0.7243811047182577,2049337,1484501,1486677
55%,0.5968468468468469,444,265,567206,0.726391521392773,2025427,1471253,1486677
60%,0.0,35,0,567206,0.7321265684332178,1938240,1419037,1486677
65%,,0,0,567206,0.7428949619237833,1744396,1295903,1486677
70%,,0,0,567206,0.7628323683781366,1367421,1043113,1486677
75%,,0,0,567206,0.7924971209446172,905679,717748,1486677
80%,,0,0,567206,0.8308357623294108,461782,383665,1486677
85%,,0,0,567206,0.8984409440018875,161059,144702,1486677
90%,,0,0,567206,0.9537727009058052,44822,42750,1486677
95%,,0,0,567206,0.9741586538461539,1664,1621,1486677
96%,,0,0,567206,0.9738219895287958,191,186,1486677
97%,,0,0,567206,1.0,3,3,1486677
98%,,0,0,567206,,0,0,1486677
99%,,0,0,567206,,0,0,1486677
